date,value
2014-12-22,118
2014-12-23,115
2014-12-24,93
2014-12-25,97
2014-12-26,88
2014-12-27,91
2014-12-28,100
2014-12-29,94
2014-12-30,88
2014-12-31,88
2015-01-01,104
2015-01-02,122
2015-01-03,102
2015-01-04,105
2015-01-05,88
2015-01-06,89
2015-01-07,103
2015-01-08,99
2015-01-09,111
2015-01-10,106
2015-01-11,122
2015-01-12,124
2015-01-13,101
2015-01-14,80
2015-01-15,59
2015-01-16,52
2015-01-17,40
2015-01-18,68
2015-01-19,66
2015-01-20,56
2015-01-21,43
2015-01-22,50
2015-01-23,60
2015-01-24,59
2015-01-25,62
2015-01-26,109
2015-01-27,126
2015-01-28,141
2015-01-29,146
2015-01-30,153
2015-01-31,138
2015-02-01,113
2015-02-02,93
2015-02-03,89
2015-02-04,96
2015-02-05,93
2015-02-06,89
2015-02-07,76
2015-02-08,84
2015-02-09,88
2015-02-10,84
2015-02-11,60
2015-02-12,51
2015-02-13,62
2015-02-14,53
2015-02-15,65
2015-02-16,41
2015-02-17,39
2015-02-18,87
2015-02-19,89
2015-02-20,64
2015-02-21,58
2015-02-22,43
2015-02-23,46
2015-02-24,44
2015-02-25,21
2015-02-26,22
2015-02-27,58
2015-02-28,60
2015-03-01,65
2015-03-02,52
2015-03-03,42
2015-03-04,37
2015-03-05,26
2015-03-06,35
2015-03-07,17
2015-03-08,28
2015-03-09,23
2015-03-10,27
2015-03-11,44
2015-03-12,56
2015-03-13,76
2015-03-14,55
2015-03-15,53
2015-03-16,46
2015-03-17,38
2015-03-18,41
2015-03-19,49
2015-03-20,20
2015-03-21,26
2015-03-22,81
2015-03-23,99
2015-03-24,108
2015-03-25,99
2015-03-26,105
2015-03-27,101
2015-03-28,81
2015-03-29,72
2015-03-30,51
2015-03-31,38
2015-04-01,43
2015-04-02,35
2015-04-03,35
2015-04-04,54
2015-04-05,55
2015-04-06,53
2015-04-07,51
2015-04-08,43
2015-04-09,47
2015-04-10,41
2015-04-11,59
2015-04-12,86
2015-04-13,103
2015-04-14,105
2015-04-15,96
2015-04-16,100
2015-04-17,117
2015-04-18,140
2015-04-19,137
2015-04-20,128
2015-04-21,127
2015-04-22,138
2015-04-23,117
2015-04-24,83
2015-04-25,69
2015-04-26,65
2015-04-27,47
2015-04-28,41
2015-04-29,30
2015-04-30,15
2015-05-01,19
2015-05-02,34
2015-05-03,44
2015-05-04,103
2015-05-05,104
2015-05-06,124
2015-05-07,145
2015-05-08,150
2015-05-09,139
2015-05-10,163
2015-05-11,163
2015-05-12,165
2015-05-13,172
2015-05-14,164
2015-05-15,124
2015-05-16,103
2015-05-17,89
2015-05-18,101
2015-05-19,77
2015-05-20,59
2015-05-21,50
2015-05-22,73
2015-05-23,72
2015-05-24,78
2015-05-25,67
2015-05-26,53
2015-05-27,14
2015-05-28,12
2015-05-29,33
2015-05-30,31
2015-05-31,29
2015-06-01,27
2015-06-02,44
2015-06-03,49
2015-06-04,80
2015-06-05,90
2015-06-06,109
2015-06-07,124
2015-06-08,112
2015-06-09,92
2015-06-10,93
2015-06-11,95
2015-06-12,98
2015-06-13,97
2015-06-14,90
2015-06-15,54
2015-06-16,70
2015-06-17,80
2015-06-18,77
2015-06-19,68
2015-06-20,64
2015-06-21,61
2015-06-22,56
2015-06-23,45
2015-06-24,36
2015-06-25,27
2015-06-26,23
2015-06-27,21
2015-06-28,32
2015-06-29,39
2015-06-30,41
2015-07-01,54
2015-07-02,75
2015-07-03,88
2015-07-04,99
2015-07-05,109
2015-07-06,97
2015-07-07,112
2015-07-08,123
2015-07-09,110
2015-07-10,103
2015-07-11,92
2015-07-12,71
2015-07-13,53
2015-07-14,43
2015-07-15,43
2015-07-16,50
2015-07-17,50
2015-07-18,58
2015-07-19,44
2015-07-20,36
2015-07-21,36
2015-07-22,36
2015-07-23,29
2015-07-24,31
2015-07-25,34
2015-07-26,40
2015-07-27,51
2015-07-28,62
2015-07-29,67
2015-07-30,76
2015-07-31,69
2015-08-01,64
2015-08-02,53
2015-08-03,61
2015-08-04,90
2015-08-05,94
2015-08-06,108
2015-08-07,112
2015-08-08,93
2015-08-09,76
2015-08-10,69
2015-08-11,78
2015-08-12,66
2015-08-13,55
2015-08-14,46
2015-08-15,39
2015-08-16,38
2015-08-17,33
2015-08-18,39
2015-08-19,50
2015-08-20,65
2015-08-21,73
2015-08-22,71
2015-08-23,81
2015-08-24,81
2015-08-25,69
2015-08-26,47
2015-08-27,55
2015-08-28,44
2015-08-29,56
2015-08-30,56
2015-08-31,35
2015-09-01,43
2015-09-02,36
2015-09-03,29
2015-09-04,37
2015-09-05,27
2015-09-06,43
2015-09-07,44
2015-09-08,42
2015-09-09,57
2015-09-10,46
2015-09-11,81
2015-09-12,89
2015-09-13,83
2015-09-14,56
2015-09-15,68
2015-09-16,86
2015-09-17,75
2015-09-18,71
2015-09-19,64
2015-09-20,65
2015-09-21,78
2015-09-22,86
2015-09-23,96
2015-09-24,101
2015-09-25,152
2015-09-26,162
2015-09-27,169
2015-09-28,156
2015-09-29,120
